Latitude,Longitude,Litologi,b_1,b_2,b_3,b_4,b_5,b_6,b_7,b_8,b_9,b_10,b_11,b_12,b_13,b_14,b_15,b_16,b_17,b_18,b_19,b_20,b_21,b_22,b_23,b_24
-7.0668,108.576112,Sandstone_karbonatan,0.029433334,0.046875,0.025281578,0.07622353,0.222487494,0.272312492,0.307843328,0.295130759,0.154106244,0.0722,-0.329142064,-0.741518795,0.329142064,0.538807392,5.737511635,-6.601523399,-13.03408146,0.506481647,359.9060974,10.89643002,166.6749115,1.018368959,0.515586138,-0.502782881
-7.069567,108.577339,Sandstone,0.056288891,0.083736844,0.067910001,0.130940005,0.275207698,0.326054543,0.318549991,0.352972716,0.23248823,0.126625001,-0.137749165,-0.58330667,0.137749165,0.467341185,2.796572924,-6.666993618,-13.58097649,0.490906775,290.3928223,7.693113804,224.3026276,1.009259462,0.450734288,-0.558525145
-7.067567,108.57723,Sandstone_karbonatan,0.040789999,0.056470968,0.044817649,0.091750003,0.201176003,0.247850001,0.224384621,0.267770588,0.169842854,0.083333336,-0.146154463,-0.603627563,0.146154463,0.387428582,3.045160532,-9.39485836,-15.05387878,0.624082267,328.1774902,13.08238411,156.8431854,1.026817203,0.445140153,-0.581677079
-7.061849,108.575205,Siltstone,0.037207998,0.064370833,0.041537501,0.103071429,0.247966662,0.295080006,0.310860008,0.326058328,0.190293759,0.091713637,-0.245281413,-0.643007874,0.245281413,0.512066603,3.606188059,-7.553175449,-14.67454433,0.514712751,396.5143127,16.17916298,38.46316147,1.04140389,0.513511837,-0.527892113
-7.05854,108.572742,Sandstone,0.050329268,0.07603889,0.060120001,0.111290909,0.243699998,0.291588902,0.307375014,0.319072723,0.200922221,0.111536361,-0.22826606,-0.603670776,0.22826606,0.473184079,3.04166913,-6.587848663,-14.71022606,0.447841436,326.7043762,18.83195305,38.02014923,1.056959867,0.466130614,-0.590829313
-7.048692,108.586155,Siltstone,0.049842857,0.0757,0.057133332,0.123036668,0.239399999,0.273409992,0.257019997,0.299957156,0.217999995,0.113875002,-0.074580252,-0.557735562,0.074580252,0.404318839,2.522188187,-7.47432518,-14.36869812,0.520181119,147.5196075,7.067618847,135.105484,1.007717729,0.463585168,-0.54413259
-7.043922,108.588478,Sandstone_karbonatan,0.041405264,0.068505883,0.041029412,0.106866665,0.258866668,0.309787512,0.325199991,0.343019992,0.209857151,0.1043,-0.229006603,-0.658660829,0.229006603,0.590156972,3.855434418,-7.464576721,-14.81843376,0.50373584,169.6226044,9.559025764,167.3193512,1.014151335,0.482704341,-0.531447053
-7.03482,108.588033,Sandstone,0.043781817,0.067166671,0.049400002,0.121974997,0.245059997,0.28944999,0.251100004,0.312299997,0.220300004,0.126224995,-0.037968434,-0.583592951,0.037968434,0.356812388,2.777486801,-8.275325775,-15.15055847,0.546205997,139.5296936,10.76826286,205.7318268,1.017944813,0.468333364,-0.549611449
-7.030727,108.586492,Sandstone,0.03682353,0.060186207,0.037094999,0.095780954,0.267692864,0.329762489,0.358660012,0.357855558,0.189183339,0.091318183,-0.301844627,-0.715523005,0.301844627,0.612694263,5.07587719,-9.281601906,-15.98539066,0.580630302,147.3489075,5.27870369,288.4287109,1.004273891,0.450445116,-0.553828776
-7.031177,108.590635,Sandstone,0.037014287,0.060723078,0.0443375,0.107182354,0.259922713,0.31442222,0.316794455,0.341288894,0.199698955,0.107033335,-0.226503596,-0.667842269,0.226503596,0.497381687,3.947894096,-7.98519659,-14.2767868,0.559313297,154.8343201,8.761909485,350.5185242,1.011915207,0.537987232,-0.473927915
-7.03609,108.598948,Sandstone,0.034337498,0.059612501,0.034338463,0.09488333,0.280288875,0.356711119,0.35710001,0.387425005,0.196511105,0.09077692,-0.294216961,-0.720999479,0.294216961,0.611918092,5.162789345,-6.780569077,-13.14006519,0.516022503,134.9701843,11.60107994,173.1867065,1.020874143,0.489365876,-0.531508207
-7.033235,108.59849,Sandstone_karbonatan,0.025620589,0.044780768,0.0213625,0.080399998,0.263333321,0.338128567,0.333711773,0.364600003,0.174050003,0.076044448,-0.31522885,-0.763468564,0.31522885,0.608932316,6.429300308,-7.150411606,-13.72066498,0.521141768,165.4491425,1.966163039,194.2288055,1.000710249,0.59678632,-0.403923869
-7.046195,108.594483,Sandstone,0.0418,0.061375,0.04761111,0.102412499,0.246976927,0.295560002,0.270924985,0.32280001,0.200660005,0.104400001,-0.145532265,-0.630031049,0.145532265,0.440634221,3.410078049,-7.22544384,-13.44898987,0.537248075,121.9653397,3.434369802,171.0686951,1.001858354,0.422984362,-0.578873992
-7.047822,108.592422,Sandstone_karbonatan,0.051816668,0.079186663,0.067311108,0.135975003,0.264479995,0.305774987,0.313899994,0.326700002,0.231442854,0.131828576,-0.156903073,-0.591921151,0.156903073,0.454052567,2.888778448,-8.974069595,-16.09623337,0.557526112,127.2924957,3.037986279,32.0287056,1.001407385,0.453042746,-0.548364699
-7.045635,108.598085,Sandstone,0.037142858,0.056705557,0.040785715,0.095895238,0.251224995,0.303481817,0.322135717,0.333981246,0.189652383,0.098350003,-0.25242272,-0.69722569,0.25242272,0.536139548,4.600239277,-8.022891045,-14.77665901,0.542943478,125.545845,3.603230715,258.0550842,1.002013206,0.578236997,-0.423776209
-7.049947,108.581072,Sandstone_karbonatan,0.068194121,0.091799997,0.107353844,0.166121051,0.204584613,0.22840625,0.221142858,0.24377273,0.287053853,0.248162493,0.137334973,-0.41505143,-0.137334973,0.208855271,1.41294682,-6.34338522,-13.08654022,0.484725893,171.0665741,3.922769308,103.1015472,1.002396941,0.505798638,-0.496598303
-7.038565,108.583663,Sandstone_karbonatan,0.041143749,0.064285718,0.044642858,0.102300003,0.235292852,0.286242843,0.299666673,0.313766658,0.194079995,0.096780002,-0.232435748,-0.642552435,0.232435748,0.511392295,3.595256567,-7.667798519,-14.4679718,0.529984355,132.1929321,13.65647221,35.49116135,1.029254913,0.454272032,-0.574982941
-7.03929,108.57437,Sandstone_karbonatan,0.035111319,0.058200002,0.035097145,0.10481111,0.238531426,0.286958337,0.283060014,0.314325005,0.18508333,0.095692858,-0.204285756,-0.652023256,0.204285756,0.469190419,3.876355886,-9.94634819,-17.03902817,0.583739221,141.2881165,13.75019741,339.6308899,1.029772162,0.489297777,-0.540474415
-7.044608,108.565855,Sandstone_karbonatan,0.060279999,0.076054543,0.068876468,0.107426666,0.178176925,0.212699994,0.161650002,0.220459998,0.15787223,0.091833331,-0.013329585,-0.349752009,0.013329585,0.202616483,1.073344588,-10.39708328,-16.7739296,0.619835854,135.6758118,1.773054957,127.8579178,1.000724554,0.329299867,-0.671424627
-7.041813,108.566698,Sandstone_karbonatan,0.050697368,0.073903173,0.058480769,0.113130003,0.261656523,0.306656241,0.301750004,0.330292314,0.209377781,0.111405879,-0.193379521,-0.582447767,0.193379521,0.462871164,2.787258387,-7.296568871,-13.65678596,0.534281552,151.2984161,3.876405001,189.121994,1.00230813,0.541404366,-0.460903794
-7.040245,108.57207,Sandstone_karbonatan,0.058262859,0.081933334,0.067117855,0.120549999,0.215047061,0.245407149,0.253825009,0.261937499,0.185199991,0.111400001,-0.177280456,-0.517773986,0.177280456,0.369793206,2.175009727,-11.4821043,-18.05528069,0.635941625,141.0055389,12.90530682,312.8493347,1.025996089,0.45381555,-0.572180569
-7.03677,108.569725,Sandstone,0.035648216,0.066457897,0.043304168,0.089494735,0.206261545,0.247938886,0.295063645,0.267911106,0.165857136,0.084206253,-0.287656784,-0.630695641,0.287656784,0.498241246,3.42629981,-10.31901932,-15.81864262,0.652332783,138.3343506,4.580768585,229.9038391,1.003212452,0.491857976,-0.511354446
-7.037482,108.578433,Sandstone,0.036780771,0.060193751,0.041060001,0.099235296,0.224984616,0.267788231,0.263845444,0.298706263,0.185216665,0.095868751,-0.186473921,-0.634641349,0.186473921,0.442652792,3.460493565,-8.59708786,-14.21320343,0.604866326,127.6149445,4.217021465,341.6681824,1.002773762,0.41872108,-0.584052742
-7.046785,108.581533,Sandstone_karbonatan,0.033180647,0.052652501,0.028865218,0.087946154,0.24831,0.310266674,0.321999997,0.333641678,0.184599996,0.082946151,-0.287879229,-0.720719278,0.287879229,0.580620885,5.161274433,-7.178981304,-14.0295229,0.511705279,245.6927795,13.78968525,171.3652191,1.030117989,0.497118711,-0.532999337
-7.052193,108.573497,Sandstone_karbonatan,0.042542309,0.066296667,0.053149998,0.120112501,0.240237504,0.291180015,0.31457001,0.31347999,0.237000003,0.146874994,-0.164916873,-0.642929554,0.164916873,0.503998101,3.607578754,-0.548795402,-11.18394756,0.049069919,265.7451172,14.78689289,103.1046143,1.03428793,0.508401275,-0.525886714
-7.049216,108.573937,Siltstone,0.040863637,0.072220691,0.0449875,0.115555555,0.266822219,0.318230003,0.315200001,0.349383324,0.214200005,0.099375002,-0.224040657,-0.63838309,0.224040657,0.512202978,3.535796881,-5.634952068,-12.47773075,0.451600701,296.4889832,4.891692638,214.8182526,1.003798962,0.457975566,-0.545823395
-7.044675,108.574585,Sandstone,0.034858335,0.058917392,0.04182069,0.105402939,0.270178258,0.324061126,0.3086375,0.355171442,0.209063634,0.099671431,-0.200977668,-0.681709886,0.200977668,0.582959712,4.276469707,-8.351296425,-15.25808811,0.547335744,308.671814,11.42887115,279.6326294,1.020673394,0.528989851,-0.491683543
-7.044879,108.573479,Sandstone,0.035035897,0.051516216,0.03298125,0.090264,0.255699992,0.321657151,0.329666674,0.353688896,0.189150006,0.083555557,-0.314366311,-0.727914393,0.314366311,0.582057178,5.335990429,-8.519757271,-14.77557182,0.576611042,301.3374023,8.28737545,229.5934906,1.012811422,0.594211102,-0.418600321
-7.044412,108.598178,Sandstone_karbonatan,0.041549999,0.072487503,0.052771427,0.107309088,0.228066668,0.271187514,0.294833332,0.299233347,0.208553329,0.109800003,-0.213378832,-0.622787714,0.213378832,0.48029691,3.289950609,-9.407514572,-16.31583023,0.576588154,124.6004639,2.546302557,24.95033836,1.000993371,0.534615815,-0.466377527
-7.05228,108.579654,Sandstone,0.051224999,0.078450002,0.063824996,0.111900002,0.225862503,0.26394999,0.317499995,0.287999988,0.208128572,0.119428575,-0.205612719,-0.608641148,0.205612719,0.451276153,3.110402822,-8.904961586,-15.39971161,0.578255057,196.9026794,6.8385005,9.063958168,1.007179141,0.510406792,-0.496772379
-7.05283,108.577985,Sandstone_karbonatan,0.056899998,0.083904766,0.0810875,0.129557148,0.239225,0.274349988,0.247099996,0.303499997,0.223800004,0.125949994,-0.032317437,-0.486841738,0.032317437,0.307517916,1.897452712,-11.2163229,-17.42495728,0.64369297,212.9345245,5.602707386,51.97319031,1.004801393,0.533459187,-0.471342236
-7.054112,108.576282,Sandstone_karbonatan,0.033110525,0.052696001,0.03647,0.09094286,0.244014293,0.294466674,0.306775004,0.327933341,0.188800007,0.090962499,-0.227333412,-0.695643127,0.227333412,0.481418312,4.585808277,-6.712871552,-12.8405714,0.522786021,232.5879211,3.699543715,33.79053879,1.002112269,0.576179266,-0.425933003
-7.056182,108.575418,Siltstone_karbonatan,0.04157,0.064384617,0.044983998,0.103287503,0.236263633,0.279190004,0.279558808,0.306245446,0.193608329,0.099736363,-0.181460574,-0.627476931,0.181460574,0.463820904,3.384617329,-10.15342045,-16.6530304,0.609704137,265.7244263,9.011818886,235.0279846,1.012509465,0.478164613,-0.534344852
